GENERATION_PROJECT,gen_tech,gen_load_zone,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_full_load_heat_rate,gen_variable_om,gen_max_age,gen_min_build_capacity,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_energy_source,gen_unit_size,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_efficiency,gen_store_to_release_ratio,gen_storage_energy_to_power_ratio,gen_storage_max_cycles_per_year,gen_inertia,Candidatas,Start_time,csp_tes_capacity_h
PHS_Cumbre500_10h,PHS,Cumbre500,0,1010.001264,.,0.0,40,.,0,0,0,0,0,PHS,.,.,.,0.8,1,10,.,0.0,True,2024,.
PHS_Lagunas220_10h,PHS,Lagunas220,0,3972.22,.,0.0,40,.,0,0,0,0,0,PHS,.,.,.,0.8,1,10,.,0.0,True,2024,.
PHS_NuevaPuertoMontt500_10h,PHS,NuevaPuertoMontt500,0,3333.33,.,0.0,40,.,0,0,0,0,0,PHS,.,.,.,0.8,1,10,.,0.0,True,2024,.
PHS_NuevaPozoAlmonte220_10h,PHS,NuevaPozoAlmonte220,0,5166.66,.,0.0,40,.,0,0,0,0,0,PHS,.,.,.,0.8,1,10,.,0.0,True,2024,.
ANGOSTURA_U1,Hidro A,Mulchen500,0,140.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,350.0,"""Predeterminada""",2022,.
ANGOSTURA_U2,Hidro A,Mulchen500,0,140.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,350.0,"""Predeterminada""",2022,.
ANGOSTURA_U3,Hidro A,Mulchen500,0,47.8,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,119.5,"""Predeterminada""",2022,.
ANTUCO_U1,Hidro A,Mulchen500,0,160.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,400.0,"""Predeterminada""",2022,.
ANTUCO_U2,Hidro A,Mulchen500,0,160.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,400.0,"""Predeterminada""",2022,.
CANUTILLAR_U1,Hidro A,NuevaPuertoMontt500,0,85.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,212.5,"""Predeterminada""",2022,.
CANUTILLAR_U2,Hidro A,NuevaPuertoMontt500,0,85.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,212.5,"""Predeterminada""",2022,.
CIPRESES_U1,Hidro A,Ancoa500,0,35.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,87.5,"""Predeterminada""",2022,.
CIPRESES_U2,Hidro A,Ancoa500,0,35.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,87.5,"""Predeterminada""",2022,.
CIPRESES_U3,Hidro A,Ancoa500,0,35.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,87.5,"""Predeterminada""",2022,.
COLBUN_U1,Hidro A,Ancoa500,0,240.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,600.0,"""Predeterminada""",2022,.
COLBUN_U2,Hidro A,Ancoa500,0,240.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,600.0,"""Predeterminada""",2022,.
CURILLINQUE,Hidro A,Ancoa500,0,87.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,217.5,"""Predeterminada""",2022,.
EL_TORO_U1,Hidro A,Mulchen500,0,110.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,275.0,"""Predeterminada""",2022,.
EL_TORO_U2,Hidro A,Mulchen500,0,110.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,275.0,"""Predeterminada""",2022,.
EL_TORO_U3,Hidro A,Mulchen500,0,110.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,275.0,"""Predeterminada""",2022,.
EL_TORO_U4,Hidro A,Mulchen500,0,110.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,275.0,"""Predeterminada""",2022,.
ISLA,Hidro A,Ancoa500,0,69.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,172.5,"""Predeterminada""",2022,.
LA_MINA,Hidro A,Ancoa500,0,34.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,85.0,"""Predeterminada""",2022,.
LAJA_I,Hidro A,NuevaCharrua500,0,34.3,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,85.75,"""Predeterminada""",2022,.
LOMA_ALTA,Hidro A,Ancoa500,0,39.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,97.5,"""Predeterminada""",2022,.
MACHICURA_U1,Hidro A,Ancoa500,0,47.5,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,118.75,"""Predeterminada""",2022,.
MACHICURA_U2,Hidro A,Ancoa500,0,47.5,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,118.75,"""Predeterminada""",2022,.
PANGUE_U1,Hidro A,Mulchen500,0,225.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,562.5,"""Predeterminada""",2022,.
PANGUE_U2,Hidro A,Mulchen500,0,225.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,562.5,"""Predeterminada""",2022,.
PEHUENCHE_U1,Hidro A,Ancoa500,0,280.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,700.0,"""Predeterminada""",2022,.
PEHUENCHE_U2,Hidro A,Ancoa500,0,280.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,700.0,"""Predeterminada""",2022,.
QUILLECO,Hidro A,Mulchen500,0,70.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,175.0,"""Predeterminada""",2022,.
RALCO_U1,Hidro A,Mulchen500,0,345.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,862.5,"""Predeterminada""",2022,.
RALCO_U2,Hidro A,Mulchen500,0,345.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,862.5,"""Predeterminada""",2022,.
RAPEL_U1,Hidro A,Rapel500,0,75.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,187.5,"""Predeterminada""",2022,.
RAPEL_U2,Hidro A,Rapel500,0,75.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,187.5,"""Predeterminada""",2022,.
RAPEL_U3,Hidro A,Rapel500,0,75.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,187.5,"""Predeterminada""",2022,.
RAPEL_U4,Hidro A,Rapel500,0,75.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,187.5,"""Predeterminada""",2022,.
RAPEL_U5,Hidro A,Rapel500,0,75.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,187.5,"""Predeterminada""",2022,.
RUCUE,Hidro A,Mulchen500,0,178.4,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,446.0,"""Predeterminada""",2022,.
SAN_IGNACIO,Hidro A,Ancoa500,0,36.0,.,0.0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,90.0,"""Predeterminada""",2022,.
HidroB_GEN_NuevaCharrua500,Hidro B,NuevaCharrua500,0,39.2,.,0.0,50,.,0,0,1,0,0,Hidro B,.,.,.,.,.,.,.,98.0,"""Predeterminada""",2022,.
HidroC_GEN_NuevaCharrua500,Hidro C,NuevaCharrua500,0,162.27,.,0.0,50,.,0,0,1,0,0,Hidro C,.,.,.,.,.,.,.,405.675,"""Predeterminada""",2022,.
HidroB_GEN_AltoJahuel500,Hidro B,AltoJahuel500,0,1460.12,.,0.0,50,.,0,0,1,0,0,Hidro B,.,.,.,.,.,.,.,3650.3,"""Predeterminada""",2022,.
HidroC_GEN_AltoJahuel500,Hidro C,AltoJahuel500,0,125.03,.,0.0,50,.,0,0,1,0,0,Hidro C,.,.,.,.,.,.,.,312.575,"""Predeterminada""",2022,.
HidroC_GEN_Rapel500,Hidro C,Rapel500,0,3.4,.,0.0,50,.,0,0,1,0,0,Hidro C,.,.,.,.,.,.,.,8.5,"""Predeterminada""",2022,.
HidroB_GEN_Mulchen500,Hidro B,Mulchen500,0,169.6,.,0.0,50,.,0,0,1,0,0,Hidro B,.,.,.,.,.,.,.,424.0,"""Predeterminada""",2022,.
HidroC_GEN_Mulchen500,Hidro C,Mulchen500,0,67.263,.,0.0,50,.,0,0,1,0,0,Hidro C,.,.,.,.,.,.,.,168.1575,"""Predeterminada""",2022,.
HidroC_GEN_Lagunas220,Hidro C,Lagunas220,0,22.432,.,0.0,50,.,0,0,1,0,0,Hidro C,.,.,.,.,.,.,.,56.08,"""Predeterminada""",2022,.
HidroB_GEN_Polpaico500,Hidro B,Polpaico500,0,211.07,.,0.0,50,.,0,0,1,0,0,Hidro B,.,.,.,.,.,.,.,527.675,"""Predeterminada""",2022,.
HidroC_GEN_Polpaico500,Hidro C,Polpaico500,0,1.504,.,0.0,50,.,0,0,1,0,0,Hidro C,.,.,.,.,.,.,.,3.76,"""Predeterminada""",2022,.
HidroC_GEN_NuevaPandeAzucar500,Hidro C,NuevaPandeAzucar500,0,28.2,.,0.0,50,.,0,0,1,0,0,Hidro C,.,.,.,.,.,.,.,70.5,"""Predeterminada""",2022,.
HidroB_GEN_Ancoa500,Hidro B,Ancoa500,0,174.016,.,0.0,50,.,0,0,1,0,0,Hidro B,.,.,.,.,.,.,.,435.04,"""Predeterminada""",2022,.
